"Date","Price","Open","High","Low","Vol.","Change %"
"1992-07-01","1.1837","1.1987","1.2041","1.1818","","-1.25%"
"1992-06-01","1.1987","1.2031","1.2065","1.1898","","-0.37%"
"1992-05-01","1.2031","1.2018","1.2109","1.1877","","0.99%"
"1992-04-01","1.1913","1.1913","1.1978","1.1782","","0.18%"
"1992-03-01","1.1892","1.1892","1.2003","1.1822","","0.59%"
"1992-02-01","1.1822","1.1822","1.1923","1.1723","","0.64%"
"1992-01-01","1.1747","1.1747","1.1787","1.1401","","1.66%"
"1991-12-01","1.1555","1.1555","1.1618","1.1322","","1.88%"
"1991-11-01","1.1342","1.1342","1.1405","1.1192","","1.02%"
"1991-10-01","1.1227","1.1227","1.1334","1.1220","","-0.84%"
"1991-09-01","1.1322","1.1322","1.1428","1.1308","","-0.82%"
