"Date","Price","Open","High","Low","Vol.","Change %"
"2000-04-12","1.4629","1.4630","1.4665","1.4617","","-0.03%"
"2000-04-11","1.4633","1.4623","1.4650","1.4605","","0.05%"
"2000-04-10","1.4625","1.4575","1.4628","1.4567","","0.28%"
"2000-04-07","1.4584","1.4532","1.4590","1.4521","","0.37%"
"2000-04-06","1.4530","1.4510","1.4537","1.4490","","0.17%"
"2000-04-05","1.4506","1.4522","1.4569","1.4494","","-0.13%"
"2000-04-04","1.4525","1.4505","1.4545","1.4475","","0.19%"
"2000-04-03","1.4498","1.4495","1.4549","1.4480","","0.05%"
"2000-03-31","1.4491","1.4543","1.4577","1.4483","","-0.38%"
"2000-03-30","1.4546","1.4569","1.4600","1.4537","","-0.15%"
"2000-03-29","1.4568","1.4536","1.4585","1.4519","","0.21%"
"2000-03-28","1.4537","1.4578","1.4582","1.4524","","-0.26%"
"2000-03-27","1.4575","1.4624","1.4639","1.4568","","-0.31%"
"2000-03-24","1.4621","1.4690","1.4697","1.4615","","-0.50%"
"2000-03-23","1.4695","1.4706","1.4767","1.4680","","-0.02%"
"2000-03-22","1.4698","1.4694","1.4725","1.4670","","-0.03%"
"2000-03-21","1.4702","1.4690","1.4726","1.4655","","0.07%"
"2000-03-20","1.4692","1.4707","1.4716","1.4683","","-0.12%"
"2000-03-17","1.4710","1.4733","1.4773","1.4703","","-0.14%"
"2000-03-16","1.4730","1.4688","1.4750","1.4655","","0.41%"
"2000-03-15","1.4670","1.4648","1.4698","1.4626","","0.14%"
"2000-03-14","1.4650","1.4615","1.4660","1.4595","","0.25%"
"2000-03-13","1.4613","1.4580","1.4625","1.4568","","0.22%"
"2000-03-10","1.4581","1.4568","1.4603","1.4537","","0.08%"
"2000-03-09","1.4570","1.4560","1.4589","1.4545","","0.03%"
"2000-03-08","1.4566","1.4547","1.4622","1.4544","","0.12%"
"2000-03-07","1.4549","1.4535","1.4557","1.4510","","0.14%"
"2000-03-06","1.4528","1.4511","1.4573","1.4489","","0.11%"
"2000-03-03","1.4512","1.4567","1.4583","1.4497","","-0.34%"
"2000-03-02","1.4562","1.4493","1.4589","1.4464","","0.50%"
"2000-03-01","1.4489","1.4500","1.4540","1.4437","","0.00%"
"2000-02-29","1.4489","1.4520","1.4549","1.4480","","-0.01%"
"2000-02-28","1.4490","1.4490","1.4572","1.4477","","0.05%"
"2000-02-25","1.4483","1.4530","1.4559","1.4480","","-0.48%"
"2000-02-24","1.4553","1.4601","1.4641","1.4545","","-0.36%"
"2000-02-23","1.4605","1.4622","1.4670","1.4595","","-0.07%"
